articles.A-B,Adv_Prev_Med,Adv_Prev_Med_2011_Jun_8_2011_281863.nxml,Vitamin D  Sunlight and Prostate Cancer Risk,advances in preventive medicine,RSG-09-175-01-CCE,14,Vitamin D  Sunlight and Prostate Cancer Risk
articles.I-N,Lab_Invest,Lab_Invest_2010_Oct_28_90(10)_1415-1424.nxml,ERBB4 PROMOTES CYCLOOXYGENASE-2 EXPRESSION AND CELL SURVIVAL IN COLON EPITHELIAL CELLS,laboratory investigation a journal of technical methods and pathology,IRG-58-009-50-MRF,11,ERBB4 PROMOTES CYCLOOXYGENASE-2 EXPRESSION AND CELL SURVIVAL IN COLON EPITHELIAL CELLS
articles.I-N,Lab_Invest,Lab_Invest_2010_May_8_90(5)_762-773.nxml,Hydrogen peroxide inhibits mTOR signaling by activation of AMPK leading to apoptosis of neuronal cells,laboratory investigation a journal of technical methods and pathology,RSG-08-135-01-CNE,69,Hydrogen peroxide inhibits mTOR signaling by activation of AMPK leading to apoptosis of neuronal cells
articles.I-N,Lab_Invest,Lab_Invest_2011_Jul_4_91(7)_1007-1017.nxml,Validation of Stereophotogrammetry of the Human Torso,laboratory investigation a journal of technical methods and pathology,RSC-118760,4,Validation of Stereophotogrammetry of the Human Torso
articles.I-N,Nat_Immunol,Nat_Immunol_2012_Mar_11_13(4)_405-411.nxml,Molecular mechanisms that control the expression and activity of Bcl-6 in T H 1 cells to regulate flexibility with a T FH -like gene profile,nature immunology,RSG-09-045-01-DDC,69,Molecular mechanisms that control the expression and activity of Bcl-6 in T H 1 cells to regulate flexibility with a T FH -like gene profile
articles.I-N,Nat_Immunol,Nat_Immunol_2010_Mar_17_11(3)_207-215.nxml,Hematopoietic Stem Cell Differentiation Regulated by a Single Ubiquitin Ligase: Substrate Complex,nature immunology,RSG-08-068-01,36,Hematopoietic Stem Cell Differentiation Regulated by a Single Ubiquitin Ligase: Substrate Complex
articles.I-N,J_Mammary_Gland_Biol_Neoplasia,J_Mammary_Gland_Biol_Neoplasia_2009_Jun_21_14(2)_87-98.nxml,Pregnancy and Breast Cancer: when They Collide,journal of mammary gland biology and neoplasia,PF-08-257-01-CSM,79,Pregnancy and Breast Cancer: when They Collide
articles.I-N,J_Mammary_Gland_Biol_Neoplasia,J_Mammary_Gland_Biol_Neoplasia_2010_Jun_19_15(2)_117-134.nxml,Epithelial-Mesenchymal Transition in Cancer: Parallels Between Normal Development and Tumor Progression,journal of mammary gland biology and neoplasia,RSG-07-183-01-DDC,318,Epithelial-Mesenchymal Transition in Cancer: Parallels Between Normal Development and Tumor Progression
articles.I-N,Nat_Chem_Biol,Nat_Chem_Biol_2013_Mar_6_9(3)_184-191.nxml,Discovery of a chemical probe for the L3MBTL3 methyl-lysine reader domain,nature chemical biology,PF-10-183-01-TBE,23,Discovery of a chemical probe for the L3MBTL3 methyl-lysine reader domain
articles.I-N,Nat_Chem_Biol,Nat_Chem_Biol_2009_Feb_4_5(2)_100-107.nxml,Small molecule-mediated disruption of Wnt-dependent signaling in tissue regeneration and cancer,nature chemical biology,RSGGMC-112251,422,Small molecule-mediated disruption of Wnt-dependent signaling in tissue regeneration and cancer
articles.I-N,Nat_Chem_Biol,Nat_Chem_Biol_2012_Mar_18_8(5)_437-446.nxml,LYP inhibits T cell activation when dissociated from CSK,nature chemical biology,RSG-08-067-01-LIB,38,LYP inhibits T cell activation when dissociated from CSK
articles.I-N,J_Gen_Intern_Med,J_Gen_Intern_Med_2007_Nov_24_22(Suppl_2)_300-305.nxml,Barriers Beyond Words: Cancer  Culture  and Translation in a Community of Russian Speakers,journal of general internal medicine,MRSGT-05-194-01-CPHPS,41,Barriers Beyond Words: Cancer  Culture  and Translation in a Community of Russian Speakers
articles.I-N,J_Gen_Intern_Med,J_Gen_Intern_Med_2007_Apr_30_22(4)_523-526.nxml,Factors Influencing Physicians Screening Behavior for Liver Cancer Among High-risk Patients,journal of general internal medicine,CCCDA-02-221-01,14,nih.gov [HTML] Factors influencing physicians' screening behavior for liver cancer among high-risk patients
articles.I-N,J_Gen_Intern_Med,J_Gen_Intern_Med_2007_Mar_9_22(3)_332-337.nxml,Specificity of Clinical Breast Examination in Community Practice,journal of general internal medicine,MRSGT-05-214-01-CPPB,17,Specificity of Clinical Breast Examination in Community Practice
articles.I-N,J_Oncol,J_Oncol_2009_Oct_25_2009_871250.nxml,Conducting Molecular Epidemiological Research in the Age of HIPAA: A Multi-Institutional Case-Control Study of Breast Cancer in African-American and European-American Women,journal of oncology,RSGT-07-291-01-CPHPS,28,Conducting Molecular Epidemiological Research in the Age of HIPAA: A Multi-Institutional Case-Control Study of Breast Cancer in African-American and European-American Women
articles.I-N,J_Oncol,J_Oncol_2011_Dec_13_2011_365651.nxml, 2 Integrin-Dependent Suppression of Pancreatic Adenocarcinoma Cell Invasion Involves Ectodomain Regulation of Kallikrein-Related Peptidase-5,journal of oncology,RSG-05-116-01-CSM,6,α 2 Integrin-Dependent Suppression of Pancreatic Adenocarcinoma Cell Invasion Involves Ectodomain Regulation of Kallikrein-Related Peptidase-5
articles.I-N,J_Oncol,J_Oncol_2010_Mar_15_2010_397632.nxml,Is There a Predisposition Gene for Ewing's Sarcoma?,journal of oncology,RSG0618801MGO,26,Is There a Predisposition Gene for Ewing's Sarcoma?
articles.I-N,Int_J_Behav_Nutr_Phys_Act,Int_J_Behav_Nutr_Phys_Act_2007_Sep_13_4_35.nxml,Distance to food stores & adolescent male fruit and vegetable consumption: mediation effects,the international journal of behavioral nutrition and physical activity,ACS TURSG-01,83,Distance to food stores & adolescent male fruit and vegetable consumption: mediation effects
articles.I-N,J_Ocul_Biol_Dis_Infor,J_Ocul_Biol_Dis_Infor_2009_Dec_12_2(4)_214-222.nxml,The role of DNA microarrays in Toxoplasma gondii research  the causative agent of ocular toxoplasmosis,journal of ocular biology diseases and informatics,MBC-114461,4,The role of DNA microarrays in Toxoplasma gondii research  the causative agent of ocular toxoplasmosis
articles.I-N,Leuk_Res_Rep,Leuk_Res_Rep_2014_Apr_18_3(1)_28-31.nxml,Fludarabine and cyclophosphamide provides a nonmyeloablative alternative conditioning regimen with low transplant-related mortality and control of high risk disease,leukemia research reports,GSCNP-10-218-01-SCN,0,Fludarabine and cyclophosphamide provides a nonmyeloablative alternative conditioning regimen with low transplant-related mortality and control of high risk disease
articles.I-N,J_Gerontol_Geriatr_Res,J_Gerontol_Geriatr_Res_2013_Dec_1_2(4)_134.nxml,Age-Related Treatment Disparities among Medicaid Beneficiaries with Metastatic Colorectal Cancer,journal of gerontology & geriatric research,RSGT-07-011-01-CPHPS,0,Age-Related Treatment Disparities among Medicaid Beneficiaries with Metastatic Colorectal Cancer
articles.I-N,J_Cancer_Surviv,J_Cancer_Surviv_2010_Mar_6_4(1)_45-58.nxml,Measuring the impact of cancer: a comparison of non-Hodgkin lymphoma and breast cancer survivors,journal of cancer survivorship,DSW-0321301-SW,24,Measuring the impact of cancer: a comparison of non-Hodgkin lymphoma and breast cancer survivors
articles.I-N,J_Cancer_Surviv,J_Cancer_Surviv_2009_Sep_13_3(3)_137-147.nxml,Cancer survivorship research: the challenge of recruiting adult long term cancer survivors from a cooperative clinical trials group,journal of cancer survivorship,RSGPB-05-236-01-CPPB,21,Cancer survivorship research: the challenge of recruiting adult long term cancer survivors from a cooperative clinical trials group
articles.I-N,Mamm_Genome,Mamm_Genome_2007_Jan_22_18(1)_75-85.nxml,Mapping and identification of candidate loci responsible for Peromyscus hybrid overgrowth,mammalian genome,RSG-03-070-01-MGO,22,Mapping and identification of candidate loci responsible for Peromyscus hybrid overgrowth
articles.I-N,Int_J_Biol_Sci,Int_J_Biol_Sci_2005_Apr_1_1(2)_44-50.nxml,PIKE GTPase Signaling and Function,international journal of biological sciences,RSG-04-077-01-TBE,18,PIKE GTPase Signaling and Function
articles.I-N,Int_J_Biol_Sci,Int_J_Biol_Sci_2010_Oct_7_6(6)_599-612.nxml,Aberrant Cytoplasm Localization and Protein Stability of SIRT1 is Regulated by PI3K/IGF-1R Signaling in Human Cancer Cells,international journal of biological sciences,IRG-72-001-27-IRG,41,Aberrant Cytoplasm Localization and Protein Stability of SIRT1 is Regulated by PI3K/IGF-1R Signaling in Human Cancer Cells
articles.I-N,Langmuir,Langmuir_2008_Aug_5_24(15)_8169-8173.nxml,Paramagnetic Porous Polymersomes Paramagnetic Porous Polymersomes,langmuir,RSG-07-005-01,52,Paramagnetic Porous Polymersomes Paramagnetic Porous Polymersomes
articles.I-N,J_Biomed_Opt,J_Biomed_Opt_2013_Feb_12_18(2)_026018.nxml,Photoacoustic contrast imaging of biological tissues with nanodiamonds fabricated for high near-infrared absorbance,journal of biomedical optics,RSG-0813301CDD,4,Photoacoustic contrast imaging of biological tissues with nanodiamonds fabricated for high near-infrared absorbance
articles.I-N,J_Biomed_Opt,J_Biomed_Opt_2013_Feb_5_18(2)_026009.nxml,Comparison of photoacoustic image reconstruction algorithms using the channelized Hotelling observer,journal of biomedical optics,RSG-08-117-01-CCE,3,Comparison of photoacoustic image reconstruction algorithms using the channelized Hotelling observer
articles.I-N,J_Cell_Biol,J_Cell_Biol_2010_Aug_9_190(3)_443-460.nxml,KIF17 stabilizes microtubules and contributes to epithelial morphogenesis by acting at MT plus ends with EB1 and APC KIF17 contributes to microtubule stabilization and epithelial polarization,the journal of cell biology,RSG-06-142-01-CSM,46,KIF17 stabilizes microtubules and contributes to epithelial morphogenesis by acting at MT plus ends with EB1 and APC KIF17 contributes to microtubule stabilization and epithelial polarization
articles.I-N,J_Cell_Biol,J_Cell_Biol_1999_Feb_22_144(4)_701-710.nxml,Altered Cytochrome c Display Precedes Apoptotic Cell Death in Drosophila,the journal of cell biology,CB-80362,126,Altered Cytochrome c Display Precedes Apoptotic Cell Death in Drosophila
articles.I-N,J_Cell_Biol,J_Cell_Biol_1997_Aug_25_138(4)_783-797.nxml,Actin Filament Cables in Drosophila Nurse Cells Are Composed of Modules That Slide Passively Past One Another during Dumping,the journal of cell biology,DB-89A,77,Actin Filament Cables in Drosophila Nurse Cells Are Composed of Modules That Slide Passively Past One Another during Dumping
articles.I-N,J_Cell_Biol,J_Cell_Biol_2005_Jan_17_168(2)_245-255.nxml,Actin-myosinbased contraction is responsible for apoptotic nuclear disintegration,the journal of cell biology,RGS-04-078-01-TBE,108,Actin-myosin–based contraction is responsible for apoptotic nuclear disintegration
articles.I-N,J_Cell_Biol,J_Cell_Biol_2006_Mar_13_172(6)_875-884.nxml,The Drosophila melanogaster Cajal body,the journal of cell biology,PF-04-022-01-CSM,111,The Drosophila melanogaster Cajal body
articles.I-N,J_Cell_Biol,J_Cell_Biol_2003_Sep_29_162(7)_1317-1328.nxml,Uncovering multiple axonal targeting pathways in hippocampal neurons,the journal of cell biology,PF-01-092-01-CSM,112,Uncovering multiple axonal targeting pathways in hippocampal neurons
articles.I-N,J_Cell_Biol,J_Cell_Biol_2013_Mar_18_200(6)_721-729.nxml,Misshapen decreases integrin levels to promote epithelial motility and planar polarity in Drosophila  Msn promotes epithelial motility and planar polarity,the journal of cell biology,PF-12-135-01-CSM,2,Misshapen decreases integrin levels to promote epithelial motility and planar polarity in Drosophila  Msn promotes epithelial motility and planar polarity
articles.I-N,J_Cell_Biol,J_Cell_Biol_1998_Oct_19_143(2)_359-373.nxml,Mitochondrial Fusion in Yeast Requires the Transmembrane GTPase Fzo1p,the journal of cell biology,CB-97,399,Mitochondrial Fusion in Yeast Requires the Transmembrane GTPase Fzo1p
articles.I-N,J_Cell_Biol,J_Cell_Biol_2005_Nov_7_171(3)_437-445.nxml,Centrobin a novel daughter centrioleassociated protein that is required for centriole duplication,the journal of cell biology,RSG-03-048-01,68,Centrobin a novel daughter centriole–associated protein that is required for centriole duplication
articles.I-N,J_Cell_Biol,J_Cell_Biol_2006_Apr_24_173(2)_173-179.nxml,Kinesin 5independent poleward flux of kinetochore microtubules in PtK1 cells,the journal of cell biology,PF-02-095-01-CCG,68,Kinesin 5–independent poleward flux of kinetochore microtubules in PtK1 cells
articles.I-N,J_Cell_Biol,J_Cell_Biol_2000_Mar_6_148(5)_863-870.nxml,In Situ Biochemical Demonstration That P-Glycoprotein Is a Drug Efflux Pump with Broad Specificity,the journal of cell biology,RPG-98-177-01-CDD,57,In Situ Biochemical Demonstration That P-Glycoprotein Is a Drug Efflux Pump with Broad Specificity
articles.I-N,J_Cell_Biol,J_Cell_Biol_1998_May_4_141(3)_663-674.nxml,The Mammalian -Tubulin Complex Contains Homologues of the Yeast Spindle Pole Body Components Spc97p and Spc98p,the journal of cell biology,PF-4198,179,The Mammalian -Tubulin Complex Contains Homologues of the Yeast Spindle Pole Body Components Spc97p and Spc98p
articles.I-N,J_Cell_Biol,J_Cell_Biol_1998_Jun_15_141(6)_1357-1370.nxml,The Src Homology Domain 3 (SH3) of a Yeast Type I Myosin  Myo5p  Binds to Verprolin and Is Required for Targeting to Sites of Actin Polarization,the journal of cell biology,RPG-97-163-01,110,The Src Homology Domain 3 (SH3) of a Yeast Type I Myosin  Myo5p  Binds to Verprolin and Is Required for Targeting to Sites of Actin Polarization
articles.I-N,J_Cell_Biol,J_Cell_Biol_1998_Dec_28_143(7)_1789-1800.nxml,Saccharomyces cerevisiae Ndc1p Is a Shared Component of Nuclear Pore Complexes and Spindle Pole Bodies,the journal of cell biology,RPG-96-101-03-CSM,118,Saccharomyces cerevisiae Ndc1p Is a Shared Component of Nuclear Pore Complexes and Spindle Pole Bodies
articles.I-N,J_Cell_Biol,J_Cell_Biol_1999_Nov_15_147(4)_729-742.nxml,Sec34p  a Protein Required for Vesicle Tethering to the Yeast Golgi Apparatus  Is in a Complex with Sec35p,the journal of cell biology,RPG-98-050-01-CSM,109,Sec34p  a Protein Required for Vesicle Tethering to the Yeast Golgi Apparatus  Is in a Complex with Sec35p
articles.I-N,J_Cell_Biol,J_Cell_Biol_2008_Apr_21_181(2)_241-254.nxml,Aurora B kinase and protein phosphatase 1 have opposing roles in modulating kinetochore assembly,the journal of cell biology,RSG-04-021-01-CCG,79,Aurora B kinase and protein phosphatase 1 have opposing roles in modulating kinetochore assembly
articles.I-N,J_Cell_Biol,J_Cell_Biol_1997_Sep_8_138(5)_1055-1066.nxml,Mitotic Spindle Poles are Organized by Structural and Motor Proteins in Addition to Centrosomes,the journal of cell biology,JFRA-635,184,Mitotic Spindle Poles are Organized by Structural and Motor Proteins in Addition to Centrosomes
articles.I-N,J_Cell_Biol,J_Cell_Biol_1997_Apr_7_137(1)_141-153.nxml,The Yeast Gene  MDM20  Is Necessary for Mitochondrial Inheritance and Organization of the Actin Cytoskeleton,the journal of cell biology,CB-97,127,The Yeast Gene  MDM20  Is Necessary for Mitochondrial Inheritance and Organization of the Actin Cytoskeleton
articles.I-N,J_Cell_Biol,J_Cell_Biol_2013_May_27_201(5)_741-757.nxml,Diet controls Drosophila follicle stem cell proliferation via Hedgehog sequestration and release Cholesterol controls FSC proliferation,the journal of cell biology,PF-11-068-01-TBE,3,Diet controls Drosophila follicle stem cell proliferation via Hedgehog sequestration and release Cholesterol controls FSC proliferation
articles.I-N,J_Cell_Biol,J_Cell_Biol_2001_Aug_6_154(3)_645-658.nxml,High resolution mapping of mast cell membranes reveals primary and secondary domains of FcRI and LAT,the journal of cell biology,RPG-99-233-01-CIM,163,High resolution mapping of mast cell membranes reveals primary and secondary domains of Fc RI and LAT
articles.I-N,J_Cell_Biol,J_Cell_Biol_1997_Jun_2_137(5)_1117-1125.nxml,Temporal Phases in Apoptosis Defined by the Actions of Src Homology 2 Domains  Ceramide  Bcl-2  Interleukin-1 Converting Enzyme Family Proteases  and a Dense Membrane Fraction,the journal of cell biology,DB-97,43,Temporal Phases in Apoptosis Defined by the Actions of Src Homology 2 Domains  Ceramide  Bcl-2  Interleukin-1 Converting Enzyme Family Proteases  and a Dense Membrane Fraction
articles.I-N,J_Cell_Biol,J_Cell_Biol_2007_Sep_24_178(7)_1109-1120.nxml,APC mutations lead to cytokinetic failures in vitro and tetraploid genotypes in Min mice,the journal of cell biology,RSG-02-035-05-CCG,96,APC mutations lead to cytokinetic failures in vitro and tetraploid genotypes in Min mice
articles.I-N,J_Cell_Biol,J_Cell_Biol_1997_Apr_21_137(2)_399-416.nxml,High Rates of Actin Filament Turnover in Budding Yeast and Roles for Actin in Establishment and Maintenance of Cell Polarity Revealed Using the Actin Inhibitor Latrunculin-A,the journal of cell biology,CB-106  FRA-442,630,High Rates of Actin Filament Turnover in Budding Yeast and Roles for Actin in Establishment and Maintenance of Cell Polarity Revealed Using the Actin Inhibitor Latrunculin-A
articles.I-N,J_Cell_Biol,J_Cell_Biol_2011_Oct_17_195(2)_231-243.nxml,The Protein Phosphatase 2A regulatory subunit Twins stabilizes Plk4 to induce centriole amplification PP2A stabilizes Plk4 to induce centriole amplification,the journal of cell biology,IRG 74-001-31,27,The Protein Phosphatase 2A regulatory subunit Twins stabilizes Plk4 to induce centriole amplification PP2A stabilizes Plk4 to induce centriole amplification
articles.I-N,J_Cell_Biol,J_Cell_Biol_2003_Mar_3_160(5)_753-767.nxml,Differential regulation of cell motility and invasion by FAK,the journal of cell biology,RPG-98-109-TBE,435,Differential regulation of cell motility and invasion by FAK
articles.I-N,J_Cell_Biol,J_Cell_Biol_2003_Feb_17_160(4)_505-516.nxml,Targeting of U4/U6 small nuclear RNP assembly factor SART3/p110 to Cajal bodies,the journal of cell biology,RPG-00-110-01-MGO,87,Targeting of U4/U6 small nuclear RNP assembly factor SART3/p110 to Cajal bodies
articles.I-N,J_Cell_Biol,J_Cell_Biol_1999_Jul_12_146(1)_71-84.nxml,Gbf1 A Novel Golgi-Associated Bfa-Resistant Guanine Nucleotide Exchange Factor That Displays Specificity for Adp-Ribosylation Factor 5,the journal of cell biology,CB-96,156,Gbf1 A Novel Golgi-Associated Bfa-Resistant Guanine Nucleotide Exchange Factor That Displays Specificity for Adp-Ribosylation Factor 5
articles.I-N,J_Cell_Biol,J_Cell_Biol_2010_Jan_25_188(2)_237-251.nxml,GRASP55 and GRASP65 play complementary and essential roles in Golgi cisternal stacking GRASP55 and GRASP65 stack Golgi membranes together,the journal of cell biology,RGS-09-278-01-CSM,60,GRASP55 and GRASP65 play complementary and essential roles in Golgi cisternal stacking GRASP55 and GRASP65 stack Golgi membranes together
articles.I-N,J_Cell_Biol,J_Cell_Biol_2008_Oct_20_183(2)_267-277.nxml,The HECT E3 ligase Smurf2 is required for Mad2-dependent spindle assembly checkpoint,the journal of cell biology,RSG-03-048-01,24,The HECT E3 ligase Smurf2 is required for Mad2-dependent spindle assembly checkpoint
articles.I-N,J_Cell_Biol,J_Cell_Biol_1997_Apr_7_137(1)_193-202.nxml,Centrosomes Isolated from Spisula solidissima Oocytes Contain Rings and an Unusual Stoichiometric Ratio of / Tubulin,the journal of cell biology,JFRA-314,91,Centrosomes Isolated from Spisula solidissima Oocytes Contain Rings and an Unusual Stoichiometric Ratio of / Tubulin
articles.I-N,J_Cell_Biol,J_Cell_Biol_1999_Jun_14_145(6)_1233-1250.nxml,A Cytoplasmic Dynein Heavy Chain Is Required for Oscillatory Nuclear Movement of Meiotic Prophase and Efficient Meiotic Recombination in Fission Yeast,the journal of cell biology,PF-4035,172,A Cytoplasmic Dynein Heavy Chain Is Required for Oscillatory Nuclear Movement of Meiotic Prophase and Efficient Meiotic Recombination in Fission Yeast
articles.I-N,J_Cell_Biol,J_Cell_Biol_2010_Nov_29_191(5)_943-952.nxml,Drosophila Boi limits Hedgehog levels to suppress follicle stem cell proliferation Boi suppresses FSC proliferation,the journal of cell biology,IRG-92-027-16,23,Drosophila Boi limits Hedgehog levels to suppress follicle stem cell proliferation Boi suppresses FSC proliferation
articles.I-N,J_Cell_Biol,J_Cell_Biol_2009_Aug_24_186(4)_525-540.nxml,The BCL-2like protein CED-9 of C. elegans promotes FZO-1/Mfn1 2 and EAT-3/Opa1dependent mitochondrial fusion,the journal of cell biology,RSG-06-110-1-CCG,35,The BCL-2like protein CED-9 of C. elegans promotes FZO-1/Mfn1 2 and EAT-3/Opa1dependent mitochondrial fusion
articles.I-N,J_Cell_Biol,J_Cell_Biol_2006_Jan_16_172(2)_211-219.nxml,The Png1Rad23 complex regulates glycoprotein turnover,the journal of cell biology,RSG-05-158-01-TBE,86,The Png1–Rad23 complex regulates glycoprotein turnover
articles.I-N,J_Cell_Biol,J_Cell_Biol_2000_Dec_25_151(7)_1469-1482.nxml,Metaphase to Anaphase ( mat ) TransitionDefective Mutants in Caenorhabditis elegans,the journal of cell biology,PF-4444,118,Metaphase to Anaphase ( mat ) TransitionDefective Mutants in Caenorhabditis elegans
articles.I-N,J_Cell_Biol,J_Cell_Biol_2001_Jul_9_154(1)_95-108.nxml,The Toxoplasma gondii protein ROP2 mediates host organelle association with the parasitophorous vacuole membrane,the journal of cell biology,IRG 85-001-13-IRG,183,The Toxoplasma gondii protein ROP2 mediates host organelle association with the parasitophorous vacuole membrane
articles.I-N,J_Cell_Biol,J_Cell_Biol_2001_Nov_12_155(4)_581-592.nxml,Yeast Cdc42 functions at a late step in exocytosis  specifically during polarized growth of the emerging bud,the journal of cell biology,RPG-98-046-CCG,125,Yeast Cdc42 functions at a late step in exocytosis  specifically during polarized growth of the emerging bud
articles.I-N,J_Cell_Biol,J_Cell_Biol_2006_Apr_24_173(2)_207-218.nxml,Stepwise RNP assembly at the site of H/ACA RNA transcription in human cells,the journal of cell biology,RSG-01-050-01-GMC,103,Stepwise RNP assembly at the site of H/ACA RNA transcription in human cells
articles.I-N,J_Cell_Biol,J_Cell_Biol_2000_Jan_24_148(2)_385-397.nxml,ErbB2 Is Necessary for Induction of Carcinoma Cell Invasion by Erbb Family Receptor Tyrosine Kinases,the journal of cell biology,RPG-99-180-0,187,ErbB2 Is Necessary for Induction of Carcinoma Cell Invasion by Erbb Family Receptor Tyrosine Kinases
articles.I-N,J_Cell_Biol,J_Cell_Biol_2002_May_28_157(5)_873-882.nxml,Dual functions of 41 integrin in epicardial development initial migration and long-term attachment,the journal of cell biology,RPG-98-229-01-DDC,112,Dual functions of α4β1 integrin in epicardial development initial migration and long-term attachment
articles.I-N,J_Cell_Biol,J_Cell_Biol_1999_Aug_23_146(4)_709-722.nxml,Mcm2  but Not Rpa  Is a Component of the Mammalian Early G1-Phase Prereplication Complex,the journal of cell biology,RPG-98-076-01-GMC,156,Mcm2  but Not Rpa  Is a Component of the Mammalian Early G1-Phase Prereplication Complex
articles.I-N,J_Cell_Biol,J_Cell_Biol_2004_Sep_27_166(7)_1015-1025.nxml,Detection of snRNP assembly intermediates in Cajal bodies by fluorescence resonance energy transfer,the journal of cell biology,RPG-00-110-01-MGO,73,Detection of snRNP assembly intermediates in Cajal bodies by fluorescence resonance energy transfer
articles.I-N,J_Cell_Biol,J_Cell_Biol_2000_Oct_16_151(2)_367-380.nxml,Dnm1p Gtpase-Mediated Mitochondrial Fission Is a Multi-Step Process Requiring the Novel Integral Membrane Component Fis1p,the journal of cell biology,CB-97,444,Dnm1p Gtpase-Mediated Mitochondrial Fission Is a Multi-Step Process Requiring the Novel Integral Membrane Component Fis1p
articles.I-N,J_Cell_Biol,J_Cell_Biol_2013_Apr_1_201(1)_49-63.nxml,SCF Slimb ubiquitin ligase presses condensin IImediated nuclear reorganization by degrading Cap-H2 SCF Slimb presses condensin II activity,the journal of cell biology,RSG-07-040-01,6,SCF Slimb ubiquitin ligase presses condensin II–mediated nuclear reorganization by degrading Cap-H2 SCF Slimb presses condensin II activity
articles.I-N,J_Cell_Biol,J_Cell_Biol_2013_Jun_24_201(7)_997-1012.nxml,The tumor suppressor CDKN3 controls mitosis CDKN3 regulates mitosis,the journal of cell biology,IRG-84-002-28,4,The tumor suppressor CDKN3 controls mitosis CDKN3 regulates mitosis
articles.I-N,J_Cell_Biol,J_Cell_Biol_2003_Nov_10_163(3)_535-545.nxml,Cellular levels of p120 catenin function as a set point for cadherin expression levels in microvascular endothelial cells,the journal of cell biology,RPG CSM-100348,305,Cellular levels of p120 catenin function as a set point for cadherin expression levels in microvascular endothelial cells
articles.I-N,J_Cell_Biol,J_Cell_Biol_2008_Dec_1_183(5)_761-768.nxml,The Mad2 partial unfolding model: regulating mitosis through Mad2 conformational switching,the journal of cell biology,IRG-78-002-30,14,The Mad2 partial unfolding model: regulating mitosis through Mad2 conformational switching
articles.I-N,J_Cell_Biol,J_Cell_Biol_2005_Aug_15_170(4)_595-605.nxml,Transcytosis of NgCAM in epithelial cells reflects differential signal recognition on the endocytic and secretory pathways,the journal of cell biology,PF-01-092-01-CSM,39,Transcytosis of NgCAM in epithelial cells reflects differential signal recognition on the endocytic and secretory pathways
articles.I-N,J_Cell_Biol,J_Cell_Biol_1998_Nov_16_143(4)_1029-1040.nxml,Saccharomyces cerevisiae Duo1p and Dam1p  Novel Proteins Involved in Mitotic Spindle Function,the journal of cell biology,CB-106,81,Saccharomyces cerevisiae Duo1p and Dam1p  Novel Proteins Involved in Mitotic Spindle Function
articles.I-N,J_Cell_Biol,J_Cell_Biol_2003_Dec_8_163(5)_949-961.nxml,Chromosome instability in colorectal tumor cells is associated with defects in microtubule plus-end attachments caused by a dominant mutation in APC,the journal of cell biology,IRG-95-125-04,158,Chromosome instability in colorectal tumor cells is associated with defects in microtubule plus-end attachments caused by a dominant mutation in APC
articles.I-N,J_Cell_Biol,J_Cell_Biol_2000_Jul_10_150(1)_65-76.nxml,The Heat Shock Protein Ssa2p Is Required for Import of Fructose-1 6-Bisphosphatase into Vid Vesicles,the journal of cell biology,RPG-94-023-05,62,The Heat Shock Protein Ssa2p Is Required for Import of Fructose-1 6-Bisphosphatase into Vid Vesicles
articles.I-N,J_Cell_Biol,J_Cell_Biol_2005_Dec_5_171(5)_773-784.nxml,A novel role for the CBF3 kinetochorescaffold complex in regulating septin dynamics and cytokinesis,the journal of cell biology,RSG-02-035-01-CCG,22,A novel role for the CBF3 kinetochore–scaffold complex in regulating septin dynamics and cytokinesis
articles.I-N,J_Cell_Biol,J_Cell_Biol_1999_Sep_6_146(5)_1019-1032.nxml,The Role of Actin in Spindle Orientation Changes during the Saccharomyces cerevisiae Cell Cycle,the journal of cell biology,RPG-98-046-01-CCG,80,The Role of Actin in Spindle Orientation Changes during the Saccharomyces cerevisiae Cell Cycle
articles.I-N,J_Cell_Biol,J_Cell_Biol_2008_Mar_10_180(5)_957-971.nxml,Calpain 2 and PTP1B function in a novel pathway with Src to regulate invadopodia dynamics and breast cancer cell invasion,the journal of cell biology,RSG-03-245-01-CSM,89,Calpain 2 and PTP1B function in a novel pathway with Src to regulate invadopodia dynamics and breast cancer cell invasion
articles.I-N,J_Cell_Biol,J_Cell_Biol_2001_Jan_22_152(2)_11-16.nxml,Nuclear Position Leaves Its Mark on Replication Timing,the journal of cell biology,RPG-97-098-04-CCG,57,Nuclear Position Leaves Its Mark on Replication Timing
articles.I-N,J_Cell_Biol,J_Cell_Biol_2001_Jan_8_152(1)_97-110.nxml,Targeting Pyk2 to 1-IntegrinContaining Focal Contacts Rescues Fibronectin-Stimulated Signaling and Haptotactic Motility Defects of Focal Adhesion KinaseNull Cells,the journal of cell biology,RPG-98-109-01-TBE,76,Targeting Pyk2 to β1-Integrin–Containing Focal Contacts Rescues Fibronectin-Stimulated Signaling and Haptotactic Motility Defects of Focal Adhesion Kinase–Null Cells
articles.I-N,J_Cell_Biol,J_Cell_Biol_2000_Feb_21_148(4)_779-790.nxml,Exogenous Expression of N-Cadherin in Breast Cancer Cells Induces Cell Migration  Invasion  and Metastasis,the journal of cell biology,CA-98-267,656,Exogenous Expression of N-Cadherin in Breast Cancer Cells Induces Cell Migration  Invasion  and Metastasis
